m,cov_bin,obs_clust_weight,exp_clust_weight,exp_std_dev,z_score
99,0.294642857142857,177,71.3686567164179,7.05425976179215,14.9741215734231
100,0.297619047619048,179,72.8251599147121,7.11073020900407,14.9316366905388
101,0.300595238095238,184,74.2963752665245,7.16686432627377,15.3070603459453
102,0.303571428571429,184,75.782302771855,7.22266095779441,14.9830786548773
103,0.306547619047619,189,77.2829424307036,7.27811893735382,15.3497158442858
104,0.30952380952381,198,78.7982942430704,7.33323708819246,16.2549913937545
105,0.3125,203,80.3283582089552,7.38801422285951,16.6041426140575
106,0.31547619047619,208,81.8731343283582,7.44244914306527,16.9469570093286
107,0.318452380952381,213,83.4326226012793,7.49654063953149,17.2836223571541
108,0.321428571428571,216,85.0068230277186,7.55028749183805,17.3494290268929
109,0.324404761904762,216,86.5957356076759,7.60368846826689,17.0186173371487
110,0.327380952380952,218,88.1993603411514,7.65674232564404,16.9524628279731
111,0.330357142857143,219,89.817697228145,7.70944780917634,16.7563625786652
112,0.333333333333333,220,91.4507462686567,7.76180365228749,16.5617760368698
113,0.336309523809524,222,93.0985074626866,7.81380857644898,16.4966278961358
114,0.339285714285714,224,94.7609808102345,7.86546129100855,16.4312065634988
115,0.342261904761905,228,96.4381663113006,7.91676049301622,16.6181399329633
116,0.345238095238095,229,98.1300639658849,7.9677048670442,16.4250481434642
117,0.348214285714286,234,99.8366737739872,8.01829308500637,16.7321554355363
118,0.351190476190476,237,101.557995735608,8.06852380597219,16.7864664617015
119,0.354166666666667,238,103.294029850746,8.1183956759777,16.5926835209385
120,0.357142857142857,238,105.044776119403,8.167907327832,16.2777586160355
121,0.360119047619048,239,106.810234541578,8.21705738092122,16.0872389385216
122,0.363095238095238,240,108.590405117271,8.2658444410071,15.8979032112923
123,0.366071428571429,242,110.385287846482,8.31426710002307,15.8299836377824
124,0.369047619047619,245,112.194882729211,8.36232393586303,15.881364832237
125,0.37202380952381,250,114.019189765458,8.41001351217091,16.1689169747172
126,0.375,250,115.858208955224,8.45733437812153,15.8610012383796
127,0.37797619047619,255,117.711940298507,8.50428506819817,16.1433981340633
128,0.380952380952381,258,119.580383795309,8.55086410196684,16.1877927837553
129,0.383928571428571,259,121.463539445629,8.59706998384404,15.9980622250179
130,0.386904761904762,266,123.361407249467,8.6429012028614,16.5035546979653
131,0.389880952380952,270,125.273987206823,8.68835623242386,16.6574676407808
132,0.392857142857143,270,127.201279317697,8.73343353006359,16.3508109600581
133,0.395833333333333,275,129.14328358209,8.7781315371882,16.615918296507
134,0.398809523809524,276,131.1,8.82244867882544,16.4240116633119
135,0.401785714285714,279,133.071428571429,8.86638336335865,16.4586354377184
136,0.404761904761905,280,135.057569296375,8.90993398226188,16.2675089391436
137,0.407738095238095,284,137.05842217484,8.9530989098221,16.4123706557018
138,0.410714285714286,289,139.073987206823,8.99587650286313,16.6660817037072
139,0.413690476190476,290,141.104264392324,9.03826510045913,16.4739287853055
140,0.416666666666667,294,143.149253731343,9.08026302364244,16.6130370756754
141,0.419642857142857,299,145.208955223881,9.12186857510389,16.8595988321798
142,0.422619047619048,301,147.283368869936,9.1630800388904,16.7756508158449
143,0.425595238095238,304,149.37249466951,9.20389568009107,16.8002235906438
144,0.428571428571429,307,151.476332622601,9.24431374452012,16.8237114917904
145,0.431547619047619,308,153.594882729211,9.28433245838981,16.630718251721
146,0.43452380952381,312,155.728144989339,9.32395002797784,16.7602630367757
147,0.4375,314,157.876119402985,9.36316463928677,16.6742641629879
148,0.44047619047619,314,160.038805970149,9.40197445769452,16.375410795107
149,0.443452380952381,316,162.216204690832,9.44037762759854,16.2900046349405
150,0.446428571428571,316,164.408315565032,9.47837227205168,15.993430104234
151,0.449404761904762,319,166.615138592751,9.51595649238794,16.0136147668546
152,0.452380952380952,319,168.836673773987,9.55312836783956,15.7187593889699
153,0.455357142857143,321,171.072921108742,9.5898859551492,15.6338750630039
154,0.458333333333333,322,173.323880597015,9.62622728816693,15.4449001620547
155,0.461309523809524,324,175.589552238806,9.66215037744172,15.3599811598553
156,0.464285714285714,327,177.869936034115,9.69765320980227,15.3779538966341
157,0.467261904761905,334,180.165031982942,9.73273374792638,15.805936132778
158,0.470238095238095,340,182.474840085288,9.76738992990432,16.1276616419731
159,0.473214285714286,342,184.799360341151,9.80161966878102,16.0382309221348
160,0.476190476190476,344,187.138592750533,9.83542085210578,15.9486217832644
161,0.479166666666667,344,189.492537313433,9.86879134144823,15.6561687587462
162,0.482142857142857,346,191.861194029851,9.90172897192143,15.5668577081078
163,0.485119047619048,349,194.244562899787,9.93423155168088,15.5779977842401
164,0.488095238095238,352,196.642643923241,9.96629686141921,15.5882729801243
165,0.491071428571429,353,199.055437100213,9.99792265384002,15.3976549159099
166,0.494047619047619,354,201.482942430704,10.0291066531273,15.2074419830542
167,0.49702380952381,355,203.925159914712,10.0598465543953,15.0176087943689
168,0.5,359,206.382089552239,10.0901400231223,15.1254502016846
169,0.50297619047619,362,208.853731343284,10.1199846945796,15.1330533868045
170,0.505952380952381,364,211.340085287846,10.1493781732368,15.0413071723652
171,0.508928571428571,364,213.841151385927,10.1783180321519,14.7528155575157
172,0.511904761904762,365,216.356929637527,10.2068018123498,14.5631386888125
173,0.514880952380952,366,218.887420042644,10.2348270221841,14.3737241126292
174,0.517857142857143,366,221.432622601279,10.2623911366775,14.0871046009971
175,0.520833333333333,367,223.992537313433,10.2894915968499,13.8983992882941
176,0.523809523809524,372,226.567164179104,10.3161258090199,14.0976213855143
177,0.526785714285714,376,229.156503198294,10.3422911441002,14.1983526431155
178,0.529761904761905,383,231.760554371002,10.3679849368645,14.5871590815347
179,0.532738095238095,386,234.379317697228,10.3932044851949,14.5884440663855
180,0.535714285714286,390,237.012793176972,10.4179470493128,14.6849668268489
181,0.538690476190476,390,239.660980810235,10.4422098509798,14.397241707957
182,0.541666666666667,392,242.323880597015,10.4659900726928,14.3011906530955
183,0.544642857142857,395,245.001492537313,10.4892848568342,14.3001653125052
184,0.547619047619048,397,247.69381663113,10.5120913048213,14.2032806831112
185,0.550595238095238,401,250.400852878465,10.5344064762067,14.2959309061866
186,0.553571428571429,402,253.122601279318,10.5562273877788,14.1032769806608
187,0.556547619047619,405,255.859061833689,10.5775510126132,14.0997607091157
188,0.55952380952381,407,258.610234541578,10.5983742791113,14.0011818370001
189,0.5625,409,261.376119402985,10.618694070009,13.9022632749123
190,0.56547619047619,412,264.15671641791,10.6385072213434,13.8969951804404
191,0.568452380952381,415,266.952025586354,10.6578105214093,13.8910308187829
192,0.571428571428571,418,269.762046908316,10.6766007096638,13.884377352195
193,0.574404761904762,421,272.586780383795,10.6948744756142,13.8770417506635
194,0.577380952380952,422,275.426226012793,10.7126284576645,13.682335251937
195,0.580357142857143,425,278.280383795309,10.7298592419233,13.6739553517565
196,0.583333333333333,429,281.149253731343,10.7465633609827,13.7579560369462
197,0.586309523809524,430,284.032835820896,10.7627372926513,13.562271400861
198,0.589285714285714,432,286.931130063966,10.7783774586601,13.4592493622011
199,0.592261904761905,435,289.844136460554,10.7934802233121,13.4484763520419
