m,cov_bin,observed,expected,z_score
111,0.330357142857143,29,16.8482142857143,3.92230640332666
112,0.333333333333333,29,17,3.8645807689999
113,0.336309523809524,29,17.1517857142857,3.8072851927844
114,0.339285714285714,29,17.3035714285714,3.75040805656341
115,0.342261904761905,29,17.4553571428571,3.69393805265091
116,0.345238095238095,29,17.6071428571429,3.63786417112489
117,0.348214285714286,29,17.7589285714286,3.58217568773535
118,0.351190476190476,29,17.9107142857143,3.52686215235466
119,0.354166666666667,29,18.0625,3.47191337794038
120,0.357142857142857,29,18.2142857142857,3.41731942998228
121,0.360119047619048,30,18.3660714285714,3.67932914624555
122,0.363095238095238,31,18.5178571428571,3.94054697966497
123,0.366071428571429,32,18.6696428571429,4.20100879226185
124,0.369047619047619,33,18.8214285714286,4.46074980561528
125,0.37202380952381,34,18.9732142857143,4.7198046304443
126,0.375,34,19.125,4.6646194339879
127,0.37797619047619,34,19.2767857142857,4.60979690826601
128,0.380952380952381,34,19.4285714285714,4.55532788564654
129,0.383928571428571,34,19.5803571428571,4.50120340756132
130,0.386904761904762,34,19.7321428571429,4.44741471658035
131,0.389880952380952,34,19.8839285714286,4.39395324879803
132,0.392857142857143,34,20.0357142857143,4.34081062651534
133,0.395833333333333,34,20.1875,4.28797865120294
134,0.398809523809524,34,20.3392857142857,4.23544929673108
135,0.401785714285714,34,20.4910714285714,4.18321470285263
136,0.404761904761905,34,20.6428571428571,4.13126716892682
137,0.407738095238095,35,20.7946428571429,4.38853430984665
138,0.410714285714286,35,20.9464285714286,4.33679336544545
139,0.413690476190476,35,21.0982142857143,4.2853296874449
140,0.416666666666667,35,21.25,4.23413604000951
141,0.419642857142857,35,21.4017857142857,4.18320532361304
142,0.422619047619048,36,21.5535714285714,4.4398635206098
143,0.425595238095238,37,21.7053571428571,4.69620265696592
144,0.428571428571429,38,21.8571428571429,4.95225165639782
145,0.431547619047619,38,22.0089285714286,4.901522959619
146,0.43452380952381,38,22.1607142857143,4.85105867201708
147,0.4375,38,22.3125,4.80085215933778
148,0.44047619047619,38,22.4642857142857,4.75089690342524
149,0.443452380952381,38,22.6160714285714,4.70118649786976
150,0.446428571428571,38,22.7678571428571,4.6517146437895
151,0.449404761904762,38,22.9196428571429,4.60247514573974
152,0.452380952380952,38,23.0714285714286,4.55346190774322
153,0.455357142857143,38,23.2232142857143,4.5046689294357
154,0.458333333333333,38,23.375,4.45609030232079
155,0.461309523809524,38,23.5267857142857,4.40772020612862
156,0.464285714285714,38,23.6785714285714,4.35955290527307
157,0.467261904761905,38,23.8303571428571,4.31158274540237
158,0.470238095238095,39,23.9821428571429,4.5679736180664
159,0.473214285714286,40,24.1339285714286,4.82434516673518
160,0.476190476190476,40,24.2857142857143,4.77674967538601
161,0.479166666666667,40,24.4375,4.72935119088952
162,0.482142857142857,40,24.5892857142857,4.68214436436993
163,0.485119047619048,40,24.7410714285714,4.63512391620137
164,0.488095238095238,40,24.8928571428571,4.5882846330449
165,0.491071428571429,40,25.0446428571429,4.54162136495072
166,0.494047619047619,40,25.1964285714286,4.49512902252174
167,0.49702380952381,40,25.3482142857143,4.44880257413477
168,0.5,40,25.5,4.40263704321586
169,0.50297619047619,40,25.6517857142857,4.35662750556647
170,0.505952380952381,40,25.8035714285714,4.31076908673678
171,0.508928571428571,40,25.9553571428571,4.26505695944328
172,0.511904761904762,40,26.1071428571429,4.2194863410271
173,0.514880952380952,40,26.2589285714286,4.17405249095021
174,0.517857142857143,40,26.4107142857143,4.12875070832621
175,0.520833333333333,41,26.5625,4.38747038190955
176,0.523809523809524,42,26.7142857142857,4.64647468423911
177,0.526785714285714,42,26.8660714285714,4.60172484953074
178,0.529761904761905,42,27.0178571428571,4.55711042277968
179,0.532738095238095,42,27.1696428571429,4.51262693138837
180,0.535714285714286,42,27.3214285714286,4.46826993532976
181,0.538690476190476,42,27.4732142857143,4.42403502490516
182,0.541666666666667,42,27.625,4.37991781852043
183,0.544642857142857,42,27.7767857142857,4.33591396047799
